ChCode,       Amount OB       ,        Principal Amount Due        
01PAFL2607-48," 140,502.88 "," 5,215.44 "
01PAFL2607-49," 1,607,513.40 "," 55,303.05 "
01PAFL2607-5," 862,656.51 "," 29,835.53 "
01PAFL2607-50," 980,622.91 "," 33,067.39 "
01PAFL2607-51," 430,524.77 "," 22,923.52 "
01PAFL2607-54," 1,000,435.49 "," 40,141.02 "
01PAFL2607-57," 279,708.79 "," 25,230.41 "
01PAFL2607-58," 1,956,142.18 "," 65,203.81 "
01PAFL2607-6," 1,453,817.30 "," 47,658.80 "
01PAFL2607-60," 975,236.90 "," 35,267.72 "
01PAFL2607-61," 1,893,213.97 "," 65,279.00 "
01PAFL2607-62," 256,285.97 "," 29,527.74 "
01PAFL2607-64," 931,169.27 "," 35,270.46 "
01PAFL2607-66," 1,640,823.58 "," 50,172.42 "
01PAFL2607-69," 1,280,346.37 "," 56,273.01 "
01PAFL2607-70," 1,937,440.35 "," 64,778.08 "
01PAFL2607-71," 1,924,964.80 "," 65,019.29 "
01PAFL2607-72," 847,580.80 "," 26,689.50 "
01PAFL2607-75," 1,879,417.38 "," 62,700.90 "
01PAFL2607-77," 307,297.76 "," 12,835.19 "
01PAFL2607-80," 710,784.08 "," 70,477.09 "
01PAFL2607-81," 811,406.42 "," 27,598.11 "
01PAFL2607-82," 466,902.98 "," 24,194.39 "
01PAFL2607-83," 921,645.60 "," 32,061.73 "
01PAFL2607-88," 367,816.90 "," 10,097.42 "
01PAFL2607-91," 624,076.59 "," 27,228.31 "
01PAFL2607-92," 384,438.70 "," 11,196.83 "
01PAFL2607-94," 2,021,147.21 "," 67,405.77 "
01PAFL2607-95," 1,662,734.49 "," 45,495.32 "
01PATL2606-1," 162,843.18 "," 13,884.79 "
01PATL2606-10," 996,630.06 "," 35,664.48 "
01PATL2606-11," 920,244.83 "," 37,356.13 "
01PATL2606-12," 218,689.29 "," 11,000.71 "
01PATL2606-13," 165,519.53 "," 38,266.86 "
01PATL2606-2," 683,110.77 "," 37,404.89 "
01PATL2606-3," 936,049.11 "," 27,933.47 "
01PATL2606-8," 332,560.44 "," 14,671.02 "
01PATL2606-9," 951,001.02 "," 27,046.76 "
01PATL2607-1," 854,736.23 "," 28,461.02 "
01PATL2607-10," 45,557.22 "," 10,173.86 "
01PATL2607-11," 408,254.34 "," 12,701.41 "
01PATL2607-12," 938,134.23 "," 27,962.04 "
01PATL2607-13," 361,399.59 "," 17,974.20 "
01PATL2607-14," 881,526.36 "," 43,211.02 "
01PATL2607-15," 970,543.52 "," 33,010.13 "
01PATL2607-16," 1,682,085.31 "," 61,520.29 "
01PATL2607-2," 737,788.78 "," 28,642.80 "
01PATL2607-4," 601,750.48 "," 36,519.00 "
01PATL2607-5," 1,678,605.84 "," 61,997.50 "
01PATL2607-6," 977,402.46 "," 30,665.58 "
01PATL2607-7," 1,058,450.20 "," 41,804.90 "
01PATL2607-9," 709,517.22 "," 21,997.00 "
01PBFL2606-1," 1,127,826.01 "," 33,773.76 "
01PBFL2606-10," 268,607.60 "," 20,518.95 "
01PBFL2606-13," 632,487.12 "," 22,444.11 "
01PBFL2606-14," 1,444,022.90 "," 43,289.38 "
01PBFL2606-15," 1,698,909.08 "," 92,048.41 "
01PBFL2606-19," 728,235.52 "," 25,527.75 "
01PBFL2606-20," 475,111.81 "," 19,093.12 "
01PBFL2606-3," 1,085,580.11 "," 66,812.89 "
01PBFL2607-1," 263,078.79 "," 9,273.58 "
01PBFL2607-11," 1,443,600.44 "," 39,575.01 "
01PBFL2607-14," 90,160.04 "," 7,743.50 "
01PBFL2607-15," 3,964,717.54 "," 136,597.35 "
01PBFL2607-16," 880,000.00 "," 29,383.27 "
01PBFL2607-17," 404,923.44 "," 12,359.45 "
01PBFL2607-18," 675,314.83 "," 14,688.26 "
01PBFL2607-19," 1,934,002.39 "," 69,795.21 "
01PBFL2607-2," 441,066.33 "," 15,119.79 "
01PBFL2607-22," 2,400,179.10 "," 74,240.80 "
01PBFL2607-23," 1,460,482.63 "," 50,141.59 "
01PBFL2607-4," 592,585.35 "," 19,947.43 "
01PBFL2607-6," 365,008.13 "," 56,060.64 "
01PBFL2607-8," 953,330.16 "," 27,404.52 "
01PBRL2606-1," 2,039,675.72 "," 72,331.20 "
01PBRL2606-2," 283,363.77 "," 24,154.96 "
01PBRL2607-1," 786,753.16 "," 31,763.86 "
01PBTL2606-1," 1,818,054.40 "," 56,566.74 "
01PCRL2606-1," 874,939.08 "," 27,454.37 "
01PCRL2606-2," 1,528,978.75 "," 55,375.77 "
01PCRL2606-3," 780,202.51 "," 27,314.28 "
01PCRL2606-5," 560,462.68 "," 22,722.61 "
